dish_id;ingredient_id
1;6056
1;3835
1;1754
1;8748
1;8748
1;8333
1;8333
1;1803
1;5828
1;11864
1;5788
1;1803
1;8748
2;9307
2;13785
2;8748
3;7875
3;4663
3;1875
3;8748
3;1137
3;10212
4;13673
4;3234
4;4006
5;11578
5;2389
5;1959
5;11398
5;6146
6;10284
6;6438
6;1959
6;2737
7;11401
7;10778
7;9041
7;8333
7;1959
7;1959
8;11578
8;6000
8;287
8;7536
8;1959
8;1959
9;9350
9;395
9;11544
9;8756
9;1182
9;13807
9;8748
9;4264
10;11628
10;6706
10;4143
10;9307
10;8748
11;13489
11;7875
11;968
11;11058
11;7621
11;3694
11;12224
12;6155
12;12231
12;8333
12;11578
12;8333
13;13673
13;13785
13;2341
13;12813
13;10407
13;11058
14;2924
14;10134
15;7387
15;8748
15;5788
15;9015
15;8748
16;4276
16;14352
16;4351
16;8199
16;8333
16;7810
16;1875
16;4482
16;4264
17;13118
17;1775
17;10417
17;5788
17;14313
17;4482
18;6653
18;8826
18;3666
18;6653
19;2288
19;9716
19;4459
19;11058
19;8748
19;1959
20;6074
20;2160
20;4264
20;9143
20;11578
20;12458
20;11864
20;8748
20;4194
20;2734
20;6074
20;1720
20;8879
20;4194
20;2593
20;14119
20;5965
21;6434
21;4850
21;8748
21;11870
21;3052
21;5982
21;3930
21;8333
21;9615
22;13237
22;12231
22;8748
22;14124
22;9657
22;1959
23;9306
23;11578
23;10933
23;5837
23;4872
23;4663
23;4194
23;5136
23;11578
23;5637
24;4663
24;1959
25;2097
25;5732
25;7635
25;8748
25;334
25;11864
25;4931
26;1875
27;1803
27;568
27;7741
27;12292
27;10697
27;1803
27;8748
27;3021
27;10004
28;6653
28;8022
28;1513
28;11578
28;12938
28;10685
28;8748
29;7041
29;8748
29;5425
30;8309
30;13495
30;4912
30;9970
30;2506
31;10933
31;10760
31;8291
32;13673
32;5788
32;8748
32;7762
32;7027
32;2620
33;3012
33;8027
34;5183
34;7027
34;11578
34;12938
34;14030
34;13495
34;9041
35;5978
35;4663
35;11058
35;5942
36;531
36;6764
36;12063
36;6146
37;2007
37;11578
37;2319
37;11058
37;11578
37;1373
37;19
37;8763
37;9041
37;11578
37;2319
37;9615
37;4457
37;1959
37;1959
37;10933
37;1182
38;7759
38;504
38;7599
39;11495
39;11541
39;9041
39;11521
40;9307
